Geneid,SRR6671741,SRR6671742,SRR6671744,SRR6671745,SRR6671746,SRR6671748,SRR6671757,SRR6671770,SRR6671771,SRR6671776,SRR6671780,SRR6671781,SRR6671782,SRR6671790,SRR6671736,SRR6671739,SRR6671749,SRR6671752,SRR6671753,SRR6671754,SRR6671755,SRR6671764,SRR6671772,SRR6671773,SRR6671775,SRR6671777,SRR6671779,SRR6671789,SRR6671737,SRR6671738,SRR6671740,SRR6671743,SRR6671747,SRR6671750,SRR6671751,SRR6671756,SRR6671758,SRR6671759,SRR6671760,SRR6671761,SRR6671762,SRR6671763,SRR6671765,SRR6671766,SRR6671767,SRR6671768,SRR6671769,SRR6671774,SRR6671778,SRR6671783,SRR6671784,SRR6671785,SRR6671786,SRR6671787,SRR6671788,SRR6671791,SRR6671792
AYC08250.1,1759.001,1445.565,2119.617,1781.236,1632.103,5924.965,1659.41,2258.321,5822.318,2079.231,845.89,2007.098,768.301,1852.836,1577.753,1199.284,2171.216,1854.117,1503.23,4142.19,1521.599,1373.297,1314.797,1523.334,1490.075,1423.435,915.602,1149.276,1492.426,1591.979,1350.914,1720.829,1366.643,2423.264,2340.62,1275.14,1804.928,1249.371,1678.423,1368.317,1716.588,1651.592,1560.16,1539.01,1315.039,1288.502,1535.638,1572.019,746.583,474.258,2461.451,2193.552,2024.725,1076.642,1165.741,2092.883,2098.036
AAC76668.1,3431.306,2866.077,3160.076,1842.045,1605.859,9375.011,2970.098,3181.851,8434.849,2699.379,1284.154,2760.023,1118.461,2195.158,2853.25,2331.833,3542.404,1852.437,1714.752,8724.969,2961.56,1477.64,2414.147,2530.355,2527.257,2108.71,1278.108,2983.095,2867.026,2483.219,2423.235,2736.77,1558.103,3127.02,2198.266,2212.826,3075.381,2358.258,2524.46,1825.369,2381.417,1764.669,1516.78,3433.126,2666.603,2398.557,2562.334,2120.149,1209.67,1794.444,4058.087,3230.676,3154.924,2710.598,3069.086,1524.455,1587.987
AAC76669.2,85,46,56.001,271.034,195.185,967,43.041,329.32,1096.969,36.003,346.216,592,328.111,706.357,53.939,62,350.008,125.067,89.033,197,41.033,167.789,40.838,45,51,54.07,286.473,67,38,48.054,57,34,307.089,386.337,202.029,45.003,43.183,29.019,31,42.035,49,239.761,189.021,54,29.016,54.01,253.006,40,150,111.001,355.53,322,357.225,68,56,1122.706,1730.961
AAC76670.2,813.589,496.044,526,508.825,352.164,2151.02,504.918,956.698,1687.578,657.71,352.76,753,303.037,891.95,412.17,413.757,1212.505,766.981,590.89,1325.178,680.049,354.627,410.129,642.63,513.801,355.561,472.251,418.605,582.906,401.016,382,694.714,273.18,551.05,749.01,418.346,563.945,485.859,664.744,289.201,361.362,468.788,232.109,490.095,615.776,372,622.835,458.52,292.017,657.541,998.766,1061.04,662.428,459.849,656.64,1022.079,832.826
AAC76671.2,74,74.061,51,83,66.018,157,76,27.007,110.001,49,94.064,279.051,155.001,69.039,61,36,55,107.012,72.02,192,44.112,68,40.018,56,67,27,94.061,56,46,50,46,45,83,39.957,146.051,41.001,77,47.023,30.031,39.045,28.06,124.783,72.05,56.2,45.002,41,29,36,42,56.033,42.014,40,47,59,53.021,85,141.075
AAC76672.1,3204.076,2830.265,4036.431,4079.282,3258.646,8190.394,2836.066,2406.005,8730.847,2942.949,2589.981,2582.507,962.098,3216.407,2300.926,1811.404,3320.551,4905.531,4305.624,7725.326,2284.831,3138.916,2376.015,2471.887,2586.091,2723.595,2038.887,2174.12,2564.813,2717.888,1971.171,2728.2,3444.945,3992.815,5549.269,2057.059,3139.235,2169.574,2328.357,2368.447,2863.316,4093.94,3337.135,2776.097,2274.767,2691.894,1902.886,2542.516,1375.01,1830.124,2903.35,2746.79,3321.308,2026.508,2337.729,3852,4430.7
AAC76673.1,4212.225,3418.59,4647.196,4428.959,3077.887,8023.716,3276.924,2633.274,8288.312,2891.258,2401.018,5555.864,2083.545,3359.962,3045.049,2618.206,3336.854,4258.629,3909.103,9122.953,2907.467,3224.444,3063.593,2946.572,3053.306,2592.411,2336.174,3300.879,3036.496,3405.404,2855.528,3304.437,3332.369,3246.175,5069.326,2693.975,3618.595,3081.655,2994.589,2774.558,3291.277,4112.174,3292.49,3454.626,2774.228,3017.027,2621.585,2714.98,2006.279,1805.614,3390.346,3329.275,3366.428,3292.262,3015.018,3182.002,3614.701
AAC76674.1,8942.071,6355.048,10783.161,5245.385,3929.887,16967.561,6246.621,6259.28,19603.757,7991.463,3993.613,3864.559,1334.211,6396.48,5708.343,6160.942,7954.317,5540.096,5779.612,17986.498,7006.881,7542.776,5392.203,7080.807,5449.339,7260.63,3694.877,6238.767,6922.203,6391.734,6273.133,7818.558,4314.204,9843.38,7370.728,6062.467,6665.935,6042.258,7135.452,7279.247,8816.852,9209.552,7954.395,6582.826,5872.02,7883.064,4092.076,6942.961,3408.536,2992.75,5714.295,6305.001,7237.496,5262.976,6512.275,6762.1,7965.34
AAC76675.1,1397.881,756.318,1623.701,563.846,523.404,1956.947,799.427,839.226,2316.795,1069.286,392.053,369.038,231.226,748.869,714.371,946.41,1239.637,575.624,762.586,2027.206,1154.238,1152.609,626.875,1124.321,679.377,1020.388,433.24,889.049,1108.115,1074.688,871.932,1182.548,404.644,1339.829,703.687,982.04,784.984,781.532,996.687,1093.491,1353.228,1436.755,1355.963,793.535,1011.586,1152.427,499.899,1088.27,396.193,200.13,646.472,878.404,843.444,639.126,903.165,642.517,837.094
AAC76676.1,2526.044,1308.033,2715.742,924.242,613.502,3198.938,1404.401,1153.085,3342.002,1801.817,699.692,669.374,330.598,1039.513,1251.642,1636.244,2190.635,806.694,978.932,3742.342,1952.249,2009.033,1099.806,1925.701,1053.399,1650.48,770.656,1879.665,2117.936,1930.892,1540.836,2034.447,743.247,2000.055,1044.115,1496.279,1209.506,1330.322,1709.763,1760.799,2090.571,2623.947,2294.159,1370.07,1858.834,1909.505,630.961,1785.872,694.505,326.393,903.128,1505.413,1003.98,1109.533,1519.797,845.279,959.674
